transaction_id,transaction_time,customer_id,product_id,quantity,unit_price,product_category,product_type,product,size,day_of_week
7,12:04:43,558,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
11,15:54:39,781,27,2,3.5,Coffee,Organic brewed coffee,Brazilian,Lg,0
19,14:34:59,788,46,2,2.5,Tea,Brewed Green tea,Serenity Green Tea,Rg,0
32,16:06:04,683,23,2,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
33,19:18:37,99,34,1,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
39,18:54:46,664,32,1,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg,0
50,13:03:49,316,49,2,3.0,Tea,Brewed Black tea,English Breakfast,Lg,0
53,11:21:14,38,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
59,19:30:55,370,51,2,3.0,Tea,Brewed Black tea,Earl Grey,Lg,0
62,12:01:00,180,49,2,3.0,Tea,Brewed Black tea,English Breakfast,Lg,0
81,13:20:51,35,35,2,3.1,Coffee,Premium brewed coffee,Jamaican Coffee River,Rg,0
90,11:40:20,595,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
91,12:27:43,500,25,2,2.2,Coffee,Organic brewed coffee,Brazilian,Sm,0
94,17:37:02,128,23,2,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
101,12:26:34,599,48,2,2.5,Tea,Brewed Black tea,English Breakfast,Rg,0
103,14:33:32,152,53,2,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
108,16:11:18,65,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
112,13:03:38,90,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
117,18:25:04,82,60,1,3.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Rg,0
120,15:51:44,174,53,2,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
127,13:58:40,116,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
134,11:49:29,189,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
135,17:01:36,131,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
137,11:10:04,264,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
138,13:17:42,722,38,1,3.75,Coffee,Barista Espresso,Latte,Regular,0
141,14:07:25,302,50,1,2.5,Tea,Brewed Black tea,Earl Grey,Rg,0
143,13:17:00,174,59,2,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Lg,0
150,12:24:53,604,28,1,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm,0
156,12:30:00,32,34,1,2.45,Coffee,Premium brewed coffee,Jamaican Coffee River,Sm,0
156,12:30:00,32,77,1,3.0,Bakery,Scone,Oatmeal Scone,Regular,0
162,19:07:40,470,55,1,4.0,Tea,Brewed Chai tea,Morning Sunrise Chai,Lg,0
165,16:44:46,127,54,2,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Rg,0
175,19:54:12,553,47,1,3.0,Tea,Brewed Green tea,Serenity Green Tea,Lg,0
180,17:52:36,518,45,2,3.0,Tea,Brewed herbal tea,Peppermint,Lg,0
199,14:24:55,112,41,2,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
199,14:24:55,112,79,1,3.75,Bakery,Scone,Jumbo Savory Scone,Regular,0
202,17:26:58,437,37,2,3.0,Coffee,Barista Espresso,Espresso shot,Regular,0
212,17:03:21,552,50,1,2.5,Tea,Brewed Black tea,Earl Grey,Rg,0
219,15:03:55,194,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
224,14:54:27,788,38,2,3.75,Coffee,Barista Espresso,Latte,Regular,0
226,16:30:12,533,40,1,3.75,Coffee,Barista Espresso,Cappuccino,Regular,0
227,12:09:11,521,28,2,2.0,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Sm,0
238,15:48:10,512,41,1,4.25,Coffee,Barista Espresso,Cappuccino,Lg,0
247,19:04:32,178,23,1,2.5,Coffee,Drip coffee,Our Old Time Diner Blend,Rg,0
248,14:30:49,416,32,2,3.0,Coffee,Gourmet brewed coffee,Ethiopia,Rg,0
249,11:15:38,22,52,1,2.5,Tea,Brewed Chai tea,Traditional Blend Chai,Rg,0
260,18:14:31,642,61,2,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Lg,0
262,11:52:08,189,58,1,3.5,Drinking Chocolate,Hot chocolate,Dark chocolate,Rg,0
268,16:04:10,223,42,2,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg,0
269,19:25:00,40,53,1,3.0,Tea,Brewed Chai tea,Traditional Blend Chai,Lg,0
270,11:27:00,344,49,1,3.0,Tea,Brewed Black tea,English Breakfast,Lg,0
276,16:10:37,401,42,2,2.5,Tea,Brewed herbal tea,Lemon Grass,Rg,0
281,11:27:06,189,31,2,2.2,Coffee,Gourmet brewed coffee,Ethiopia,Sm,0
290,14:58:35,517,43,1,3.0,Tea,Brewed herbal tea,Lemon Grass,Lg,0
296,14:49:18,328,39,1,4.25,Coffee,Barista Espresso,Latte,Rg,0
